,reference,preco,endereco,localizacao,metragem,quartos,garagens,banheiro
1034,ref: 473047,R$ 1.272.000,rua heloisa rojo machado,"Campeche Sul, Florianópolis - SC",84m²,2,1,3
1035,ref: 473065,R$ 1.450.000,avenida campeche,"Lagoa Pequena, Florianópolis - SC",72m²,2,1,3
1036,ref: 471432,R$ 450.000,rua waldemar ouriques,"Capoeiras, Florianópolis - SC",64m²,2,1,3
1037,ref: 471331,R$ 1.250.000,rua sérgio gil,"Balneário, Florianópolis - SC",91m²,3,1,3
1038,ref: 471346,R$ 1.400.000,rua sérgio gil,"Balneário, Florianópolis - SC",92m²,2,1,3
1039,ref: 471800,R$ 1.659.300,rua marechal hermes,"Estreito, Florianópolis - SC",108m²,3,2,6
1040,ref: 470184,R$ 520.000,rua luiz pasteur,"Trindade, Florianópolis - SC",33m²,1,1,1
1041,ref: 475105,R$ 2.690.000,rua almirante lamego,"Centro, Florianópolis - SC",168m²,3,2,5
1042,ref: 467886,R$ 1.590.000,avenida campeche,"Lagoa Pequena, Florianópolis - SC",71m²,2,1,3
1043,ref: 467887,R$ 658.000,rua martinho de haro,"Ingleses, Florianópolis - SC",67m²,2,1,3
1044,ref: 466677,R$ 1.750.000,rodovia tertuliano brito xavier,"Jurere Leste, Florianópolis - SC",117m²,3,1,6
1045,ref: 461827,R$ 520.000,rodovia joão paulo,"João Paulo, Florianópolis - SC",48m²,1,1,3
1046,ref: 466287,R$ 1.020.000,rodovia joão paulo,"João Paulo, Florianópolis - SC",101m²,3,2,3
1047,ref: 466288,R$ 690.000,rodovia joão paulo,"João Paulo, Florianópolis - SC",67m²,2,1,3
1048,ref: 466843,R$ 870.000,rua joão pio duarte silva,"Córrego Grande, Florianópolis - SC",85m²,3,1,3
1049,ref: 466851,R$ 545.000,rua pastor william richard schisler filho,"Itacorubi, Florianópolis - SC",73m²,3,1,1
1050,ref: 474428,R$ 760.000,rua são josé,"Jardim Atlântico, Florianópolis - SC",109m²,3,1,4
1051,ref: 474433,R$ 550.000,avenida prefeito waldemar vieira,"Saco dos limões, Florianópolis - SC",64m²,2,1,3
1052,ref: 474435,R$ 730.000,rua tenente silveira,"Centro, Florianópolis - SC",70m²,2,1,1
1053,ref: 474436,R$ 1.199.000,avenida madre benvenuta,"Trindade, Florianópolis - SC",82m²,3,1,3
1054,ref: 474437,R$ 1.428.499,estrada caminho dos açores,"Santo Antônio de Lisboa, Florianópolis - SC",75m²,2,2,4
1055,ref: 474438,R$ 500.000,rua joão medeiros júnior,"Saco dos limões, Florianópolis - SC",44m²,1,1,2
1056,ref: 474440,R$ 565.000,rua lauro linhares,"Trindade, Florianópolis - SC",95m²,3,1,2
1057,ref: 474444,R$ 2.600.000,rua almirante lamego,"Centro, Florianópolis - SC",163m²,4,3,7
1058,ref: 474448,R$ 1.350.000,rodovia virgílio várzea,"Vargem Pequena, Florianópolis - SC",176m²,3,2,4
1059,ref: 474449,R$ 400.000,rua joão motta espezim,"Saco dos limões, Florianópolis - SC",72m²,3,1,3
1060,ref: 474206,R$ 1.500.000,rua frei caneca,"Agronômica, Florianópolis - SC",134m²,3,1,5
1061,ref: 474207,R$ 4.300.000,rua frei caneca,"Agronômica, Florianópolis - SC",110m²,4,2,3
1062,ref: 474208,R$ 1.867.167,rua delminda silveira,"Agronômica, Florianópolis - SC",157m²,3,2,3
1063,ref: 474214,R$ 490.000,rua pascoal simone,"Coqueiros, Florianópolis - SC",63m²,2,1,3
1064,ref: 474226,R$ 590.000,rua general bittencourt,"Centro, Florianópolis - SC",66m²,2,1,1
1065,ref: 474240,R$ 960.000,rodovia virgílio várzea,"Saco Grande, Florianópolis - SC",128m²,3,2,3
1066,ref: 474153,R$ 1.350.000,rua rui barbosa,"Agronômica, Florianópolis - SC",157m²,4,2,5
1067,ref: 474159,R$ 724.400,rua araci vaz callado,"Coloninha, Florianópolis - SC",78m²,1,1,3
1068,ref: 474161,R$ 850.000,rua olavo bilac,"Canto, Florianópolis - SC",82m²,2,1,3
1069,ref: 474162,R$ 380.000,rua doutor doutor abel capela,"Capoeiras, Florianópolis - SC",73m²,3,1,2
1070,ref: 474164,R$ 1.400.000,rua dom joaquim,"Centro, Florianópolis - SC",138m²,4,2,6
1071,ref: 474166,R$ 1.450.000,rua são pedro,"Balneário, Florianópolis - SC",119m²,3,2,4
1072,ref: 474167,R$ 3.520.000,rua almirante lamego,"Centro, Florianópolis - SC",170m²,4,3,9
1073,ref: 474169,R$ 1.100.000,rua júlio dias,"Coqueiros, Florianópolis - SC",120m²,3,2,5
1074,ref: 474170,R$ 1.200.000,rua laurindo januário da silveira,"Canto da Lagoa, Florianópolis - SC",113m²,3,2,5
1075,ref: 474171,R$ 1.400.000,rua almirante lamego,"Centro, Florianópolis - SC",96m²,3,1,4
1076,ref: 474172,R$ 475.000,rua almirante dorval melchíades de souza,"Centro, Florianópolis - SC",59m²,2,1,1
1077,ref: 474175,R$ 800.000,rua embaúba do ribeirão,"Moenda, Florianópolis - SC",72m²,2,1,3
1078,ref: 474176,R$ 665.000,rua joão pio duarte silva,"Pantanal, Florianópolis - SC",63m²,2,1,3
1079,ref: 474177,R$ 2.345.000,rua joaquim costa,"Agronômica, Florianópolis - SC",1m²,2,1,5
1080,ref: 474180,R$ 1.430.000,rua araci vaz callado,"Coloninha, Florianópolis - SC",129m²,3,2,7
1081,ref: 474181,R$ 670.000,avenida governador jorge lacerda,"Costeira do Pirajubaé, Florianópolis - SC",77m²,3,1,3
1082,ref: 474182,R$ 370.000,rua celso martins da silveira,"Ressacada, Florianópolis - SC",50m²,2,1,1
1083,ref: 474185,R$ 320.000,rua joão motta espezim,"Saco dos limões, Florianópolis - SC",40m²,1,1,1
1084,ref: 474187,R$ 700.000,rua joão medeiros júnior,"Saco dos limões, Florianópolis - SC",63m²,2,2,5
1085,ref: 474188,R$ 490.000,estrada manoel leôncio de souza brito,"Vargem Pequena, Florianópolis - SC",53m²,2,1,1
1086,ref: 474193,R$ 800.000,rodovia virgílio várzea,"Saco Grande, Florianópolis - SC",72m²,2,1,3
1087,ref: 474197,R$ 795.000,rua salomé damázio jacques,"Trindade, Florianópolis - SC",95m²,3,1,3
1088,ref: 474198,R$ 1.130.000,rua professor professor milton roque ramos krieger,"Trindade, Florianópolis - SC",116m²,3,2,7
1089,ref: 474199,R$ 960.000,rua professor professor odilon fernandes,"Trindade, Florianópolis - SC",91m²,3,1,3
1090,ref: 474307,R$ 450.000,rua silva jardim,"Centro, Florianópolis - SC",107m²,3,1,3
1091,ref: 474308,R$ 495.000,rua tenente silveira,"Centro, Florianópolis - SC",60m²,2,,1
1092,ref: 474309,R$ 1.550.000,rua presidente nereu ramos,"Centro, Florianópolis - SC",108m²,3,2,7
1093,ref: 474310,R$ 1.750.000,avenida trompowsky,"Centro, Florianópolis - SC",150m²,3,2,7
1094,ref: 474311,R$ 390.000,rua joão marçal,"Trindade, Florianópolis - SC",62m²,2,1,1
1095,ref: 474312,R$ 1.000.000,rua douglas seabra levier,"Trindade, Florianópolis - SC",163m²,3,2,4
1096,ref: 474313,R$ 780.000,rua general bittencourt,"Centro, Florianópolis - SC",66m²,2,2,3
1097,ref: 474315,R$ 550.000,rua josé joão martendal,"Trindade, Florianópolis - SC",72m²,2,1,3
1098,ref: 474324,R$ 1.169.000,rua pastor william richard schisler filho,"Itacorubi, Florianópolis - SC",102m²,3,2,5
1099,ref: 474326,R$ 1.150.000,avenida santa catarina,"Balneário, Florianópolis - SC",144m²,4,3,4
1100,ref: 474327,R$ 1.220.000,avenida itamarati,"Itacorubi, Florianópolis - SC",125m²,3,2,4
1101,ref: 474328,R$ 1.350.000,rua itapiranga,"Itacorubi, Florianópolis - SC",92m²,3,1,3
1102,ref: 474330,R$ 399.000,rua vera linhares de andrade,"Itacorubi, Florianópolis - SC",53m²,2,1,1
1103,ref: 474332,R$ 2.100.000,rua são francisco,"Centro, Florianópolis - SC",147m²,4,2,4
1104,ref: 474333,R$ 489.000,rua padre roma,"Centro, Florianópolis - SC",67m²,2,1,1
1105,ref: 474334,R$ 940.000,avenida trompowsky,"Centro, Florianópolis - SC",115m²,3,1,4
1106,ref: 474335,R$ 2.180.000,rua gentil leandro dos santos,"Saco dos limões, Florianópolis - SC",201m²,4,2,4
1107,ref: 474336,R$ 830.000,rua pascoal simone,"Coqueiros, Florianópolis - SC",71m²,2,2,3
1108,ref: 474338,R$ 1.190.000,rua duarte schutel,"Centro, Florianópolis - SC",88m²,3,1,3
1109,ref: 474341,R$ 1.111.000,rua pastor william richard schisler filho,"Itacorubi, Florianópolis - SC",96m²,2,2,3
1110,ref: 474342,R$ 2.950.000,rua otávio francisco quintino,"João Paulo, Florianópolis - SC",243m²,3,3,7
1111,ref: 474344,R$ 780.000,rodovia admar gonzaga,"Itacorubi, Florianópolis - SC",47m²,1,1,1
1112,ref: 474345,R$ 465.000,rua araci vaz callado,"Canto, Florianópolis - SC",78m²,3,1,3
1113,ref: 474346,R$ 1.115.000,rua frei evaristo,"Centro, Florianópolis - SC",83m²,2,1,3
1114,ref: 474347,R$ 1.217.000,rua pastor william richard schisler filho,"Itacorubi, Florianópolis - SC",130m²,3,2,7
1115,ref: 474350,R$ 3.900.000,rodovia joão paulo,"João Paulo, Florianópolis - SC",297m²,4,3,6
1116,ref: 474352,R$ 2.850.000,rua otávio francisco quintino,"João Paulo, Florianópolis - SC",230m²,3,2,5
1117,ref: 474355,R$ 625.000,rua pastor william richard schisler filho,"Itacorubi, Florianópolis - SC",53m²,1,1,1
1118,ref: 474356,R$ 1.139.000,rua pastor william richard schisler filho,"Itacorubi, Florianópolis - SC",114m²,2,2,5
1119,ref: 473302,R$ 710.000,rua joão pio duarte silva,"Pantanal, Florianópolis - SC",97m²,3,1,3
1120,ref: 473306,R$ 795.000,rodovia admar gonzaga,"Itacorubi, Florianópolis - SC",177m²,4,2,5
1121,ref: 473318,R$ 320.000,rua capitão romualdo de barros,"Saco dos limões, Florianópolis - SC",44m²,1,,1
1122,ref: 473345,R$ 799.000,avenida buriti,"Itacorubi, Florianópolis - SC",71m²,2,1,3
1123,ref: 473355,R$ 550.000,avenida madre benvenuta,"Trindade, Florianópolis - SC",75m²,3,1,2
1124,ref: 469812,R$ 3.100.000,rua santos saraiva,"Capoeiras, Florianópolis - SC",227m²,3,4,6
1125,ref: 469822,R$ 1.955.000,rodovia joão paulo,"João Paulo, Florianópolis - SC",184m²,4,3,4
1126,ref: 469838,R$ 760.000*,rodovia amaro antônio vieira,"Itacorubi, Florianópolis - SC",75m²,3,1,3
1127,ref: 469839,R$ 870.000,rodovia amaro antônio vieira,"Itacorubi, Florianópolis - SC",74m²,3,2,3
1128,ref: 469860,R$ 986.000,rua juvêncio costa,"Trindade, Florianópolis - SC",78m²,2,1,5
1129,ref: 474561,R$ 795.000,rua professor professor clementino de brito,"Capoeiras, Florianópolis - SC",91m²,3,2,3
1130,ref: 475428,R$ 539.000,rua lauro linhares,"Trindade, Florianópolis - SC",66m²,2,1,1
1131,ref: 475434,R$ 860.000,rua ângelo la porta,"Centro, Florianópolis - SC",67m²,2,1,3
1132,ref: 475178,R$ 900.000,rua joão pio duarte silva,"Córrego Grande, Florianópolis - SC",117m²,3,2,5
1133,ref: 475188,R$ 890.000,estrada haroldo soares glavan,"Saco Grande, Florianópolis - SC",70m²,2,1,2
1134,ref: 475193,R$ 990.000,rua jairo callado,"Agronômica, Florianópolis - SC",71m²,2,2,3
1135,ref: 474021,R$ 808.190,rua maria claudino da cruz,"Capoeiras, Florianópolis - SC",78m²,3,2,3
1136,ref: 448329,R$ 1.490.000,avenida dos búzios,"Jurere Oeste, Florianópolis - SC",57m²,1,1,2
1137,ref: 448395,R$ 670.000,rua intendente joão nunes vieira,"Ingleses, Florianópolis - SC",142m²,3,2,7
