;reference;preco;endereco;localizacao;metragem;quartos;garagens;banheiro
14557;ref: 190982;R$ 180.500;avenida fabio araujo santos;Nonoai, Porto Alegre - RS;59m²;2;;1
14558;ref: 190985;R$ 349.900;rua ignacio montanha;Farroupilha, Porto Alegre - RS;88m²;3;;1
14559;ref: 191014;R$ 175.000;rua sao manoel;Santana, Porto Alegre - RS;36m²;1;;1
14560;ref: 183588;R$ 208.050;rua doutor julio bocaccio;Santo Antônio, Porto Alegre - RS;49m²;2;1;1
14561;ref: 183854;R$ 275.000;avenida sarandi;Sarandi, Porto Alegre - RS;56m²;2;1;1
14562;ref: 183856;R$ 589.000;rua fernando cortez;Cristo Redentor, Porto Alegre - RS;76m²;2;1;2
14563;ref: 183858;R$ 640.000;avenida diario de noticias;Cristal, Porto Alegre - RS;44m²;1;1;1
14564;ref: 183928;R$ 276.000;avenida jose aloisio filho;Humaitá, Porto Alegre - RS;71m²;3;1;2
14565;ref: 188721;R$ 115.000;rua capitao pedroso;Restinga, Porto Alegre - RS;39m²;2;1;1
14566;ref: 188722;R$ 640.000;avenida da cavalhada;Cavalhada, Porto Alegre - RS;89m²;3;1;2
14567;ref: 188748;R$ 170.000;avenida jacui;Cristal, Porto Alegre - RS;51m²;2;;1
14568;ref: 188785;R$ 420.000;rua madre barbara maix;Jardim Planalto, Porto Alegre - RS;70m²;3;1;2
14569;ref: 188792;R$ 185.000;rua doutor vargas neto;Protásio Alves, Porto Alegre - RS;56m²;2;;1
14570;ref: 188799;R$ 186.000;avenida brasil;Navegantes, Porto Alegre - RS;39m²;1;;1
14571;ref: 188844;R$ 460.830;rua lila ripoll;Sarandi, Porto Alegre - RS;74m²;2;1;2
14572;ref: 188857;R$ 198.000;avenida bernardi;Cristo Redentor, Porto Alegre - RS;38m²;1;;1
14573;ref: 189075;R$ 250.000;rua engenheiro fernando de abreu pereira;Sarandi, Porto Alegre - RS;59m²;2;;1
14574;ref: 189076;R$ 138.000;rua doutor flores;Centro Histórico, Porto Alegre - RS;40m²;1;;1
14575;ref: 182664;R$ 200.000;avenida cristovao colombo;Floresta, Porto Alegre - RS;46m²;1;;1
14576;ref: 182838;R$ 220.000;avenida baltazar de oliveira garcia;São Sebastião, Porto Alegre - RS;44m²;2;1;1
14577;ref: 180523;R$ 270.000;avenida francisco trein;Cristo Redentor, Porto Alegre - RS;51m²;2;1;1
14578;ref: 180578;R$ 255.000;avenida assis brasil;São João, Porto Alegre - RS;67m²;2;;1
14579;ref: 180587;R$ 125.000;rua jose barcellos garcia;Rubem Berta, Porto Alegre - RS;38m²;2;1;1
14580;ref: 190549;R$ 10.151.230;rua comendador rheingantz;Bela Vista, Porto Alegre - RS;510m²;4;5;5
