,reference,preco,endereco,localizacao,metragem,quartos,garagens,banheiro
82,ref: 11166,R$ 520.000,avenida protasio alves,"Petropolis, Porto Alegre - RS",107m²,2.0,2.0,2.0
83,ref: 117580,R$ 520.000,rua la plata,"Petropolis, Porto Alegre - RS",66m²,2.0,2.0,2.0
84,ref: 187759,R$ 530.000,avenida coronel lucas de oliveira,"Petropolis, Porto Alegre - RS",62m²,2.0,1.0,2.0
85,ref: 321962,R$ 535.000,rua professor cristiano fischer,"Petropolis, Porto Alegre - RS",55m²,2.0,1.0,2.0
86,ref: 197331,R$ 519.000,rua riveira,"Petropolis, Porto Alegre - RS",92m²,2.0,1.0,2.0
87,ref: 163781,R$ 517.500,rua professor cristiano fischer,"Petropolis, Porto Alegre - RS",55m²,2.0,2.0,2.0
88,ref: 456874,R$ 536.000,rua sao marcos,"Petropolis, Porto Alegre - RS",72m²,2.0,2.0,3.0
89,ref: 456986,R$ 540.000,rua sao marcos,"Petropolis, Porto Alegre - RS",72m²,2.0,2.0,3.0
90,ref: 240876,R$ 539.900,avenida bage,"Petropolis, Porto Alegre - RS",72m²,2.0,2.0,1.0
91,ref: 328885,R$ 540.000,rua dario pederneiras,"Petropolis, Porto Alegre - RS",81m²,2.0,2.0,3.0
92,ref: 259233,R$ 510.000,rua felizardo furtado,"Petropolis, Porto Alegre - RS",65m²,2.0,1.0,2.0
93,ref: 113571,R$ 539.200,rua dona eugenia,"Petropolis, Porto Alegre - RS",75m²,2.0,2.0,2.0
94,ref: 446594,R$ 545.000,avenida lageado,"Petropolis, Porto Alegre - RS",78m²,2.0,2.0,1.0
95,ref: 454449,R$ 550.000,avenida coronel lucas de oliveira,"Petropolis, Porto Alegre - RS",84m²,2.0,,2.0
96,ref: 296937,R$ 550.000,rua felipe de oliveira,"Petropolis, Porto Alegre - RS",73m²,2.0,1.0,1.0
97,ref: 76643,R$ 550.000,avenida coronel lucas de oliveira,"Petropolis, Porto Alegre - RS",84m²,2.0,,2.0
98,ref: 43223,R$ 495.000,rua professor cristiano fischer,"Petropolis, Porto Alegre - RS",55m²,2.0,2.0,2.0
99,ref: 57642,R$ 559.000,avenida coronel lucas de oliveira,"Petropolis, Porto Alegre - RS",79m²,2.0,1.0,3.0
100,ref: 464951,R$ 490.000,rua carazinho,"Petropolis, Porto Alegre - RS",65m²,2.0,1.0,1.0
101,ref: 400502,R$ 700.000,avenida guapore,"Petropolis, Porto Alegre - RS",91m²,3.0,2.0,2.0
102,ref: 437471,R$ 490.000,avenida nilopolis,"Petropolis, Porto Alegre - RS",86m²,2.0,,1.0
103,ref: 375763,R$ 720.000,rua visconde de duprat,"Petropolis, Porto Alegre - RS",155m²,3.0,2.0,3.0
104,ref: 224062,R$ 700.000,avenida lageado,"Petropolis, Porto Alegre - RS",100m²,3.0,4.0,3.0
105,ref: 252043,R$ 720.000,avenida alegrete,"Petropolis, Porto Alegre - RS",97m²,3.0,1.0,2.0
106,ref: 337019,R$ 700.000,avenida itaqui,"Petropolis, Porto Alegre - RS",114m²,3.0,1.0,2.0
107,ref: 68533,R$ 700.000,rua professor cristiano fischer,"Petropolis, Porto Alegre - RS",138m²,3.0,1.0,3.0
108,ref: 311884,R$ 485.000,avenida coronel lucas de oliveira,"Petropolis, Porto Alegre - RS",83m²,2.0,1.0,1.0
109,ref: 445611,R$ 690.000,avenida pirapo,"Petropolis, Porto Alegre - RS",119m²,3.0,1.0,2.0
110,ref: 357967,R$ 580.000,avenida coronel lucas de oliveira,"Petropolis, Porto Alegre - RS",93m²,2.0,1.0,2.0
111,ref: 241077,R$ 688.600,rua felizardo furtado,"Petropolis, Porto Alegre - RS",65m²,3.0,2.0,2.0
112,ref: 321699,R$ 690.000,rua coronel corte real,"Petropolis, Porto Alegre - RS",92m²,3.0,2.0,3.0
113,ref: 159719,R$ 479.000,avenida protasio alves,"Petropolis, Porto Alegre - RS",75m²,2.0,2.0,2.0
114,ref: 159722,R$ 479.000,avenida protasio alves,"Petropolis, Porto Alegre - RS",75m²,2.0,2.0,2.0
115,ref: 159725,R$ 479.000,avenida protasio alves,"Petropolis, Porto Alegre - RS",75m²,2.0,2.0,2.0
116,ref: 207492,R$ 580.000,rua sao mateus,"Petropolis, Porto Alegre - RS",64m²,2.0,2.0,3.0
117,ref: 173167,R$ 689.000,avenida coronel lucas de oliveira,"Petropolis, Porto Alegre - RS",88m²,3.0,1.0,3.0
118,ref: 345934,R$ 680.000,avenida coronel lucas de oliveira,"Petropolis, Porto Alegre - RS",118m²,3.0,1.0,2.0
