,reference,preco,endereco,localizacao,metragem,quartos,garagens,banheiro
230,ref: 470436,R$ 1.557.975,rua julio vieira,"Joao Paulo, Florianopolis - SC",102m²,2,,3.0
231,ref: 470444,R$ 1.634.473,rua julio vieira,"Joao Paulo, Florianopolis - SC",107m²,2,,1.0
232,ref: 468806,R$ 585.000,rua padova,"Corrego Grande, Florianopolis - SC",67m²,2,1.0,1.0
233,ref: 468847,R$ 2.780.000,rua pastor william richard schisler filho,"Itacorubi, Florianopolis - SC",170m²,3,3.0,4.0
234,ref: 464205,R$ 2.011.120,rua julio vieira,"Joao Paulo, Florianopolis - SC",12699m²,3,,2.0
235,ref: 464214,R$ 1.983.405,rua julio vieira,"Joao Paulo, Florianopolis - SC",125m²,3,,2.0
236,ref: 464220,R$ 1.413.086,rua julio vieira,"Joao Paulo, Florianopolis - SC",92m²,2,,3.0
237,ref: 462394,R$ 2.978.000,rodovia joao paulo,"Joao Paulo, Florianopolis - SC",130m²,3,2.0,4.0
238,ref: 465819,R$ 657.564,rua luiz elias daux,"Ingleses do Rio Vermelho, Florianopolis - SC",73m²,2,1.0,2.0
239,ref: 465821,R$ 871.083,rua luiz elias daux,"Ingleses do Rio Vermelho, Florianopolis - SC",82m²,2,1.0,3.0
240,ref: 465822,R$ 1.000.895,rua luiz elias daux,"Ingleses do Rio Vermelho, Florianopolis - SC",120m²,3,1.0,2.0
241,ref: 465825,R$ 767.128,rua das dunas,"Ingleses do Rio Vermelho, Florianopolis - SC",73m²,2,1.0,2.0
242,ref: 465827,R$ 802.735,rua das dunas,"Ingleses do Rio Vermelho, Florianopolis - SC",82m²,2,1.0,3.0
243,ref: 465828,R$ 580.000,rodovia virgilio varzea,"Canasvieiras, Florianopolis - SC",55m²,2,,1.0
244,ref: 465829,R$ 1.393.626,rua das dunas,"Ingleses do Rio Vermelho, Florianopolis - SC",124m²,3,2.0,4.0
245,ref: 463089,R$ 1.259.000,rua ana luiza vieira,"Campeche, Florianopolis - SC",71m²,2,1.0,3.0
246,ref: 463329,R$ 625.000,servidao servidao laje de pedra,"Itacorubi, Florianopolis - SC",65m²,1,1.0,1.0
247,ref: 464751,R$ 786.788,rua da baliza,"Cachoeira do Bom Jesus, Florianopolis - SC",69m²,2,1.0,5.0
248,ref: 464757,R$ 786.788,rua da baliza,"Cachoeira do Bom Jesus, Florianopolis - SC",71m²,2,1.0,3.0
249,ref: 464761,R$ 786.788,rua da baliza,"Cachoeira do Bom Jesus, Florianopolis - SC",73m²,2,1.0,3.0
250,ref: 464767,R$ 813.420,rua da baliza,"Cachoeira do Bom Jesus, Florianopolis - SC",71m²,2,1.0,3.0
251,ref: 464778,R$ 814.584,rua da baliza,"Cachoeira do Bom Jesus, Florianopolis - SC",71m²,2,1.0,3.0
252,ref: 464783,R$ 814.584,rua da baliza,"Cachoeira do Bom Jesus, Florianopolis - SC",73m²,2,1.0,3.0
253,ref: 462668,R$ 2.935.972,rodovia joao paulo,"Joao Paulo, Florianopolis - SC",135m²,3,3.0,4.0
254,ref: 462682,R$ 2.951.173,rodovia joao paulo,"Joao Paulo, Florianopolis - SC",135m²,3,3.0,4.0
255,ref: 462694,R$ 280.000,servidao servidao jose manoel pacifico,"Ingleses do Rio Vermelho, Florianopolis - SC",60m²,2,,1.0
256,ref: 462706,R$ 2.694.173,rodovia joao paulo,"Joao Paulo, Florianopolis - SC",135m²,3,2.0,4.0
257,ref: 462708,R$ 2.835.972,rodovia joao paulo,"Joao Paulo, Florianopolis - SC",135m²,3,2.0,4.0
258,ref: 462723,R$ 475.000,rua das gaivotas,"Ingleses do Rio Vermelho, Florianopolis - SC",40m²,1,,1.0
259,ref: 463460,R$ 750.000,rua doutor homero de miranda gomes 1.180,"Estreito, Florianopolis - SC",84m²,3,2.0,2.0
260,ref: 463465,R$ 4.201.820,rua jornalista haroldo callado,"Jurere, Florianopolis - SC",136m²,3,,4.0
261,ref: 464322,R$ 1.598.000,rua joao meirelles,"Abraao, Florianopolis - SC",97m²,3,2.0,3.0
262,ref: 464330,R$ 1.790.000,avenida das raias,"Jurere Internacional, Florianopolis - SC",87m²,2,1.0,2.0
263,ref: 464353,R$ 3.830.000,rua deputado paulo preis,"Jurere, Florianopolis - SC",134m²,3,1.0,7.0
264,ref: 466185,R$ 548.000,avenida hercilio luz,"Centro, Florianopolis - SC",53m²,1,,1.0
265,ref: 466204,R$ 450.000,rua leonel pereira,"Cachoeira do Bom Jesus, Florianopolis - SC",45m²,2,1.0,3.0
266,ref: 466219,R$ 523.000,avenida hercilio luz,"Centro, Florianopolis - SC",43m²,1,,1.0
267,ref: 463591,R$ 900.000,rua auroreal,"Campeche, Florianopolis - SC",99m²,2,,2.0
268,ref: 463037,R$ 475.000,rua jose joao martendal,"Carvoeira, Florianopolis - SC",59m²,2,1.0,1.0
269,ref: 464665,R$ 2.021.280,rua dos peixes,"Jurere Internacional, Florianopolis - SC",87m²,2,,3.0
270,ref: 464671,R$ 4.042.555,rua professor manoel do lago almeida,"Jurere, Florianopolis - SC",141m²,3,,4.0
271,ref: 464703,R$ 786.788,rua da baliza,"Cachoeira do Bom Jesus, Florianopolis - SC",71m²,2,1.0,3.0
272,ref: 461655,R$ 910.000,avenida luiz boiteux piazza,"Ponta das Canas, Florianopolis - SC",83m²,2,1.0,2.0
273,ref: 461690,R$ 910.000,avenida luiz boiteux piazza,"Ponta das Canas, Florianopolis - SC",83m²,2,,2.0
274,ref: 461222,R$ 8.750.000,avenida jornalista rubens de arruda ramos,"Centro, Florianopolis - SC",335m²,4,4.0,2.0
275,ref: 463201,R$ 1.595.000,rua desembargador urbano salles,"Centro, Florianopolis - SC",130m²,3,2.0,2.0
276,ref: 461413,R$ 834.709,rua doutor joao de oliveira,"Canasvieiras, Florianopolis - SC",73m²,2,,2.0
277,ref: 467098,R$ 1.495.000,avenida campeche,"Campeche, Florianopolis - SC",122m²,2,2.0,1.0
278,ref: 467113,R$ 528.500,rua araci vaz callado,"Estreito, Florianopolis - SC",45m²,1,1.0,1.0
279,ref: 462966,R$ 529.999*,rua osvaldo climaco,"Ingleses do Rio Vermelho, Florianopolis - SC",45m²,1,1.0,1.0
280,ref: 464958,R$ 1.570.000,avenida campeche,"Campeche, Florianopolis - SC",94m²,3,,2.0
281,ref: 463843,R$ 785.663,rua da baliza,"Cachoeira do Bom Jesus, Florianopolis - SC",71m²,2,,1.0
282,ref: 463845,R$ 785.663,rua da baliza,"Cachoeira do Bom Jesus, Florianopolis - SC",69m²,2,,1.0
283,ref: 463846,R$ 785.663,rua da baliza,"Cachoeira do Bom Jesus, Florianopolis - SC",71m²,2,,3.0
284,ref: 463848,R$ 785.663,rua da baliza,"Cachoeira do Bom Jesus, Florianopolis - SC",73m²,2,,3.0
285,ref: 463850,R$ 813.420,rua da baliza,"Cachoeira do Bom Jesus, Florianopolis - SC",71m²,2,,3.0
286,ref: 463851,R$ 813.420,rua da baliza,"Cachoeira do Bom Jesus, Florianopolis - SC",73m²,2,,3.0
287,ref: 463852,R$ 840.185,rua da baliza,"Cachoeira do Bom Jesus, Florianopolis - SC",71m²,2,,3.0
288,ref: 463853,R$ 840.185,rua da baliza,"Cachoeira do Bom Jesus, Florianopolis - SC",69m²,2,,3.0
289,ref: 463854,R$ 840.185,rua da baliza,"Cachoeira do Bom Jesus, Florianopolis - SC",73m²,2,,3.0
290,ref: 473724,R$ 449.000*,rua joao pio duarte silva,"Corrego Grande, Florianopolis - SC",75m²,2,1.0,1.0
291,ref: 469368,R$ 848.000,rua ilha das gales,"Ingleses Norte, Florianopolis - SC",87m²,2,1.0,2.0
292,ref: 469961,R$ 1.378.000,avenida atlantica,"Jardim Atlantico, Florianopolis - SC",116m²,3,2.0,4.0
293,ref: 474871,R$ 700.000,rua do kalifa,"Canasvieiras, Florianopolis - SC",68m²,2,1.0,2.0
294,ref: 473898,R$ 534.000,rua trajano,"Centro, Florianopolis - SC",53m²,2,,1.0
295,ref: 473934,R$ 1.200.000,rua pirineus,"Corrego Grande, Florianopolis - SC",68m²,2,2.0,2.0
296,ref: 473950,R$ 1.300.000,rua otavio cruz,"Campeche, Florianopolis - SC",67m²,2,1.0,2.0
297,ref: 468312,R$ 760.000,rua timbauba do ribeirao,"Ribeirao da Ilha, Florianopolis - SC",58m²,2,1.0,2.0
298,ref: 471420,R$ 650.000,rua pastor william richard schisler filho,"Itacorubi, Florianopolis - SC",74m²,2,1.0,2.0
299,ref: 469153,R$ 1.096.000,rua doutor carlos correa,"Beiramar, Florianopolis - SC",92m²,2,,3.0
300,ref: 469154,R$ 1.554.000,rua doutor carlos correa,"Beiramar, Florianopolis - SC",124m²,3,2.0,4.0
301,ref: 468957,R$ 479.000,servidao lindomar alvaro da silveira,"Ingleses, Florianopolis - SC",45m²,1,1.0,1.0
302,ref: 468127,R$ 892.219,rua getulio zomer,"Canasvieiras, Florianopolis - SC",92m²,2,,1.0
303,ref: 468131,R$ 866.180,rua getulio zomer,"Canasvieiras, Florianopolis - SC",84m²,2,,2.0
304,ref: 468133,R$ 866.180,rua getulio zomer,"Canasvieiras, Florianopolis - SC",84m²,2,,1.0
305,ref: 468135,R$ 843.444,rua getulio zomer,"Canasvieiras, Florianopolis - SC",84m²,2,,1.0
